student_id,eye_side,image_file,name,account_number,balance,branch
student_001,left,left_1.jpg,Student 001,ACC001,25000,Coimbatore
student_001,left,left_2.jpg,Student 001,ACC001,25000,Coimbatore
student_001,left,left_3.jpg,Student 001,ACC001,25000,Coimbatore
student_001,right,right_1.jpg,Student 001,ACC001,25000,Coimbatore
student_001,right,right_2.jpg,Student 001,ACC001,25000,Coimbatore
student_001,right,right_3.jpg,Student 001,ACC001,25000,Coimbatore
student_002,left,left.jpg,Student 002,ACC002,25000,Coimbatore
student_002,right,right.jpg,Student 002,ACC002,25000,Coimbatore
student_003,left,left.jpg,Student 003,ACC003,25000,Coimbatore
student_003,right,right.jpg,Student 003,ACC003,25000,Coimbatore
student_004,left,left.jpg,Student 004,ACC004,25000,Coimbatore
student_004,right,right.jpg,Student 004,ACC004,25000,Coimbatore
student_005,left,left.jpg,Student 005,ACC005,25000,Coimbatore
student_005,right,right.jpg,Student 005,ACC005,25000,Coimbatore
student_006,left,left.jpg,Student 006,ACC006,25000,Coimbatore
student_006,right,right.jpg,Student 006,ACC006,25000,Coimbatore
